Cliente_Perdido,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Cliente_Activo,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivos,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Factura_Digital,Metodo_Pago,Factura_Mensual,Factura_Diaria
1,F,0,1,1,1,0,Sin telefonía,DSL,1,0,0,0,0,0,Mensual,0,Débito automático,30.5,1.0167
0,F,0,1,1,55,1,0,Fibra óptica,0,1,1,1,1,1,Anual,1,Débito automático,103.7,3.4567
0,M,0,1,1,54,1,0,0,0,0,0,0,0,0,Bi-anual,0,Tarjeta de crédito,20.4,0.68
0,M,0,0,0,26,1,0,0,0,0,0,0,0,0,Anual,1,Débito automático,19.6,0.6533
0,F,0,1,1,69,1,0,0,0,0,0,0,0,0,Bi-anual,0,Débito automático,19.7,0.6567
0,M,0,1,1,37,1,0,Fibra óptica,0,0,0,0,1,1,Anual,0,Tarjeta de crédito,91.2,3.04
0,F,0,1,0,49,1,0,0,0,0,0,0,0,0,Anual,0,Débito automático,20.45,0.6817
0,M,0,1,0,66,1,1,Fibra óptica,1,1,1,1,1,1,Anual,0,Débito automático,115.8,3.86
0,F,0,0,0,67,1,0,0,0,0,0,0,0,0,Anual,0,E-cheque,20.55,0.685
0,M,0,1,1,20,0,Sin telefonía,DSL,1,0,1,1,0,0,Bi-anual,1,Tarjeta de crédito,39.4,1.3133
0,F,0,0,1,43,1,1,0,0,0,0,0,0,0,Bi-anual,1,E-cheque,25.1,0.8367
0,F,0,1,0,55,1,1,Fibra óptica,1,0,0,0,1,0,Mensual,1,Débito automático,89.8,2.9933
0,F,0,1,0,59,1,1,Fibra óptica,1,1,0,0,1,0,Mensual,1,E-cheque,94.75,3.1583
0,F,0,1,1,12,1,0,0,0,0,0,0,0,0,Bi-anual,0,Débito automático,20.3,0.6767
0,M,0,1,1,27,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,Débito automático,75.75,2.525
1,M,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensual,1,E-cheque,49.25,1.6417
0,F,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual,0,Cheque,78.2,2.6067
0,M,0,1,1,25,1,1,0,0,0,0,0,0,0,Bi-anual,0,Tarjeta de crédito,25.5,0.85
0,M,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual,1,Débito automático,61.6,2.0533
0,M,0,0,1,29,0,Sin telefonía,DSL,1,1,1,1,0,0,Mensual,1,Cheque,45.0,1.5
0,M,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Bi-anual,1,Débito automático,85.15,2.8383
0,F,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de crédito,51.45,1.715
0,F,0,0,0,35,1,0,Fibra óptica,0,0,1,1,1,1,Anual,1,E-cheque,99.25,3.3083
0,M,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque,44.3,1.4767
0,M,0,0,0,29,1,0,Fibra óptica,0,0,0,1,1,1,Mensual,1,E-cheque,94.2,3.14
0,M,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual,0,E-cheque,81.25,2.7083
0,F,0,1,1,39,1,1,Fibra óptica,0,0,0,1,1,1,Mensual,1,Tarjeta de crédito,99.95,3.3317
0,F,1,0,0,40,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,E-cheque,91.55,3.0517
1,M,0,0,0,40,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,1,Tarjeta de crédito,104.5,3.4833
1,F,1,0,0,11,1,0,Fibra óptica,0,1,0,0,1,1,Mensual,1,E-cheque,95.0,3.1667
0,F,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensual,0,E-cheque,50.35,1.6783
0,M,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensual,1,Cheque,64.5,2.15
0,M,0,0,0,27,1,0,0,0,0,0,0,0,0,Mensual,1,E-cheque,19.4,0.6467
0,M,1,1,0,70,1,1,Fibra óptica,0,1,1,0,1,1,Anual,1,E-cheque,104.8,3.4933
0,F,0,1,0,57,1,1,Fibra óptica,0,1,1,1,1,1,Anual,1,Débito automático,109.4,3.6467
0,M,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual,0,Tarjeta de crédito,50.3,1.6767
0,M,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensual,1,Débito automático,71.4,2.38
0,F,0,1,0,69,1,1,Fibra óptica,1,1,1,1,1,1,Bi-anual,1,E-cheque,116.0,3.8667
1,M,0,0,0,1,1,0,0,0,0,0,0,0,0,Mensual,1,E-cheque,19.85,0.6617
1,M,0,0,1,1,1,1,Fibra óptica,0,0,1,0,1,1,Mensual,1,E-cheque,99.75,3.325
0,M,1,1,1,32,1,0,Fibra óptica,0,1,0,0,1,1,Mensual,1,Cheque,93.95,3.1317
0,M,0,1,1,16,1,1,Fibra óptica,0,0,1,0,1,0,Mensual,1,Débito automático,90.8,3.0267
1,M,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual,0,E-cheque,84.35,2.8117
0,F,0,1,0,71,0,Sin telefonía,DSL,0,1,1,1,1,1,Bi-anual,0,Débito automático,58.25,1.9417
0,F,0,0,0,33,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,0,E-cheque,107.55,3.585
0,F,0,1,0,10,1,0,0,0,0,0,0,0,0,Mensual,1,Débito automático,19.95,0.665
1,M,0,1,0,21,1,1,Fibra óptica,0,1,1,1,1,1,Mensual,1,E-cheque,111.2,3.7067
1,M,0,1,1,37,0,Sin telefonía,DSL,1,1,1,0,0,0,Mensual,0,Débito automático,40.2,1.34
0,F,1,0,0,26,1,0,Fibra óptica,1,0,0,0,1,0,Mensual,1,Tarjeta de crédito,85.8,2.86
0,M,0,0,0,50,0,Sin telefonía,DSL,1,0,0,1,0,0,Anual,1,Cheque,35.4,1.18
1,F,0,0,0,7,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,E-cheque,73.85,2.4617
0,F,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Bi-anual,0,Cheque,88.1,2.9367
1,M,0,0,0,15,1,0,Fibra óptica,0,0,1,1,1,1,Mensual,1,E-cheque,101.35,3.3783
0,F,0,0,1,26,0,Sin telefonía,DSL,1,0,0,1,0,1,Mensual,0,Cheque,45.8,1.5267
0,M,0,1,0,72,1,0,Fibra óptica,0,0,1,0,1,1,Mensual,1,E-cheque,94.65,3.155
0,M,0,1,1,44,1,0,0,0,0,0,0,0,0,Anual,1,Débito automático,20.5,0.6833
0,M,0,0,0,66,1,1,Fibra óptica,0,1,0,0,0,1,Mensual,0,Tarjeta de crédito,89.4,2.98
1,F,0,0,0,2,1,0,Fibra óptica,1,1,0,1,0,0,Mensual,1,E-cheque,86.25,2.875
0,F,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual,0,Débito automático,74.85,2.495
1,F,0,0,0,12,1,1,Fibra óptica,0,1,0,0,1,0,Mensual,1,Débito automático,89.75,2.9917
0,M,1,1,0,69,1,1,Fibra óptica,0,1,1,1,1,1,Bi-anual,1,E-cheque,109.95,3.665
1,F,0,0,0,1,1,1,Fibra óptica,0,1,0,0,0,0,Mensual,1,Cheque,80.2,2.6733
1,F,0,0,0,3,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,19.85,0.6617
0,F,0,1,0,2,1,0,Fibra óptica,1,1,0,0,1,0,Mensual,0,E-cheque,90.35,3.0117
0,F,1,0,0,27,1,1,Fibra óptica,0,1,1,0,0,0,Mensual,1,Débito automático,86.45,2.8817
0,M,0,0,0,26,1,0,0,0,0,0,0,0,0,Mensual,1,E-cheque,20.3,0.6767
0,F,1,1,0,39,1,1,Fibra óptica,0,0,0,1,1,1,Mensual,1,E-cheque,101.25,3.375
1,M,0,0,0,25,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,Débito automático,94.7,3.1567
1,F,0,0,0,1,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,0,Cheque,70.9,2.3633
1,M,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensual,1,E-cheque,54.2,1.8067
0,F,0,0,0,72,1,1,Fibra óptica,1,1,1,1,1,1,Bi-anual,1,E-cheque,114.9,3.83
0,F,0,0,0,24,1,0,0,0,0,0,0,0,0,Bi-anual,1,Débito automático,19.55,0.6517
0,F,0,1,0,19,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,E-cheque,86.85,2.895
0,M,0,1,1,71,1,1,0,0,0,0,0,0,0,Bi-anual,0,Tarjeta de crédito,25.35,0.845
0,M,1,1,0,33,1,1,Fibra óptica,1,0,1,1,1,1,Mensual,1,Débito automático,109.9,3.6633
0,F,0,0,0,3,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,19.95,0.665
0,M,0,1,1,47,1,1,Fibra óptica,0,1,0,0,1,0,Mensual,0,E-cheque,87.2,2.9067
0,M,0,1,1,62,1,0,Fibra óptica,1,1,1,1,1,1,Bi-anual,0,Cheque,108.15,3.605
0,M,0,0,0,71,1,1,Fibra óptica,1,1,1,1,1,1,Anual,1,Débito automático,116.3,3.8767
0,M,1,1,0,7,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,E-cheque,89.0,2.9667
0,F,0,1,1,27,1,0,Fibra óptica,1,0,0,0,0,0,Mensual,0,Cheque,74.4,2.48
0,M,0,0,0,2,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,20.05,0.6683
0,F,0,0,1,25,0,Sin telefonía,DSL,1,0,0,1,0,0,Bi-anual,0,Débito automático,35.05,1.1683
0,M,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensual,1,E-cheque,74.75,2.4917
1,F,1,1,0,58,1,0,Fibra óptica,1,1,0,1,1,1,Anual,1,Tarjeta de crédito,105.5,3.5167
1,M,0,1,0,10,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,E-cheque,85.25,2.8417
0,F,0,0,0,9,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,Tarjeta de crédito,75.2,2.5067
1,F,1,1,0,6,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,E-cheque,84.35,2.8117
0,F,0,1,1,69,1,1,Fibra óptica,1,0,1,0,0,0,Anual,0,Débito automático,84.45,2.815
0,F,1,0,0,66,1,1,Fibra óptica,1,0,0,0,1,1,Bi-anual,1,Débito automático,102.4,3.4133
1,F,0,0,0,70,1,1,Fibra óptica,1,1,1,1,1,1,Anual,0,Tarjeta de crédito,115.55,3.8517
1,M,0,0,0,25,1,1,0,0,0,0,0,0,0,Anual,0,Débito automático,25.3,0.8433
0,F,0,1,1,46,1,0,0,0,0,0,0,0,0,Bi-anual,1,Cheque,19.25,0.6417
0,F,0,1,0,54,1,1,Fibra óptica,1,1,1,1,1,1,Anual,1,Cheque,114.65,3.8217
1,F,0,0,0,15,1,0,Fibra óptica,1,0,1,1,1,1,Mensual,0,E-cheque,105.1,3.5033
0,F,0,1,1,12,1,0,0,0,0,0,0,0,0,Mensual,0,Débito automático,19.4,0.6467
0,F,0,0,0,22,0,Sin telefonía,DSL,0,1,0,0,1,1,Mensual,1,E-cheque,50.35,1.6783
0,F,0,1,0,70,0,Sin telefonía,DSL,0,1,1,1,1,1,Bi-anual,0,Débito automático,57.8,1.9267
0,M,0,0,0,30,1,0,Fibra óptica,1,1,1,0,0,0,Mensual,1,Tarjeta de crédito,84.3,2.81
0,M,0,1,1,71,1,1,Fibra óptica,0,1,0,0,1,1,Anual,0,Débito automático,100.55,3.3517
0,M,0,1,0,30,1,0,0,0,0,0,0,0,0,Anual,0,Tarjeta de crédito,19.8,0.66
1,M,0,1,1,4,1,1,Fibra óptica,0,1,1,0,0,0,Mensual,1,Débito automático,84.8,2.8267
1,M,0,0,0,2,1,0,Fibra óptica,0,0,1,0,0,1,Mensual,1,E-cheque,85.85,2.8617
0,M,0,0,1,10,1,0,0,0,0,0,0,0,0,Anual,1,Débito automático,19.95,0.665
0,M,1,0,0,4,1,0,Fibra óptica,1,0,0,0,0,0,Mensual,0,E-cheque,75.35,2.5117
0,M,1,0,0,52,0,Sin telefonía,DSL,1,0,0,0,1,1,Mensual,1,Tarjeta de crédito,48.8,1.6267
1,M,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensual,0,E-cheque,47.15,1.5717
0,M,0,1,1,8,1,0,0,0,0,0,0,0,0,Bi-anual,0,Cheque,20.15,0.6717
0,F,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,1,E-cheque,44.3,1.4767
0,M,0,0,0,3,1,0,Fibra óptica,0,1,0,0,0,1,Mensual,0,E-cheque,84.3,2.81
0,M,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensual,0,E-cheque,59.55,1.985
0,M,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Bi-anual,0,Débito automático,69.65,2.3217
0,M,1,1,0,63,0,Sin telefonía,DSL,1,0,0,1,0,0,Anual,0,Débito automático,36.1,1.2033
0,M,0,1,0,66,0,Sin telefonía,DSL,1,1,1,1,1,0,Bi-anual,1,Débito automático,56.6,1.8867
1,M,0,0,0,1,1,0,Fibra óptica,0,0,0,1,0,0,Mensual,1,E-cheque,75.9,2.53
0,F,0,0,0,60,1,1,Fibra óptica,0,0,1,0,0,0,Anual,1,Débito automático,79.2,2.64
0,F,0,1,1,48,0,Sin telefonía,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de crédito,45.0,1.5
1,F,0,0,0,1,1,0,Fibra óptica,0,0,1,0,1,0,Mensual,1,Tarjeta de crédito,85.55,2.8517
1,M,0,0,0,15,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,E-cheque,93.35,3.1117
0,F,0,1,0,50,1,1,Fibra óptica,1,1,0,1,1,1,Mensual,1,Débito automático,109.65,3.655
0,M,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bi-anual,0,Tarjeta de crédito,89.7,2.99
0,F,0,0,0,46,1,1,Fibra óptica,1,1,0,0,0,0,Mensual,0,Cheque,84.25,2.8083
0,F,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bi-anual,0,Débito automático,92.65,3.0883
0,M,0,1,1,1,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,19.7,0.6567
0,F,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,E-cheque,50.1,1.67
0,F,1,0,0,67,1,0,Fibra óptica,1,1,0,1,1,0,Bi-anual,1,Débito automático,92.45,3.0817
0,F,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Bi-anual,0,E-cheque,79.65,2.655
0,F,0,0,0,72,1,0,Fibra óptica,1,1,1,1,1,1,Bi-anual,1,E-cheque,109.9,3.6633
0,M,0,1,0,52,1,1,DSL,1,1,1,1,0,1,Anual,1,Tarjeta de crédito,81.4,2.7133
0,F,0,1,1,67,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de crédito,50.55,1.685
1,F,0,1,1,28,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,1,E-cheque,81.05,2.7017
0,F,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensual,0,Débito automático,62.45,2.0817
1,F,1,1,0,27,1,0,Fibra óptica,1,0,0,0,0,0,Mensual,1,Débito automático,75.2,2.5067
0,M,0,0,0,3,1,0,Fibra óptica,0,1,1,0,0,1,Mensual,0,E-cheque,90.4,3.0133
1,M,0,0,0,2,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,E-cheque,85.65,2.855
1,F,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensual,1,Cheque,72.9,2.43
0,M,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Bi-anual,1,Tarjeta de crédito,70.5,2.35
0,F,0,1,1,71,1,0,0,0,0,0,0,0,0,Bi-anual,0,Débito automático,20.1,0.67
1,M,1,1,0,32,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,E-cheque,74.9,2.4967
0,F,0,1,1,16,1,0,Fibra óptica,1,0,1,0,1,1,Mensual,0,Débito automático,100.7,3.3567
0,F,0,1,1,67,1,1,Fibra óptica,0,0,1,1,1,1,Bi-anual,1,Débito automático,105.65,3.5217
0,M,0,1,1,72,1,1,Fibra óptica,1,1,1,1,1,1,Bi-anual,1,Tarjeta de crédito,114.3,3.81
1,F,0,0,0,3,1,0,0,0,0,0,0,0,0,Mensual,0,E-cheque,19.75,0.6583
0,M,0,1,1,23,1,1,0,0,0,0,0,0,0,Anual,0,Cheque,24.35,0.8117
0,M,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Bi-anual,0,Débito automático,69.85,2.3283
0,M,0,1,1,7,0,Sin telefonía,DSL,1,1,1,0,1,1,Mensual,0,Cheque,58.85,1.9617
0,M,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Mensual,1,E-cheque,54.4,1.8133
0,M,0,1,1,66,0,Sin telefonía,DSL,0,0,0,1,1,1,Bi-anual,0,Débito automático,50.55,1.685
1,M,0,0,0,5,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,21.05,0.7017
1,M,0,0,0,49,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,1,Débito automático,103.7,3.4567
0,M,0,1,0,63,1,0,0,0,0,0,0,0,0,Bi-anual,1,Débito automático,19.95,0.665
0,F,1,1,1,12,0,Sin telefonía,DSL,0,0,0,1,0,0,Mensual,1,Cheque,29.3,0.9767
0,M,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Mensual,1,Tarjeta de crédito,54.75,1.825
0,F,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Mensual,0,E-cheque,60.55,2.0183
0,F,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Mensual,1,E-cheque,86.2,2.8733
1,M,0,0,0,1,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,E-cheque,95.45,3.1817
0,M,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Mensual,1,Tarjeta de crédito,63.95,2.1317
0,M,0,0,0,19,1,0,DSL,0,1,0,1,0,1,Anual,1,Débito automático,65.35,2.1783
0,M,0,1,1,52,0,Sin telefonía,DSL,0,1,1,1,1,0,Bi-anual,0,Cheque,50.2,1.6733
0,F,0,1,1,72,0,Sin telefonía,DSL,1,1,1,1,1,1,Bi-anual,1,Débito automático,63.8,2.1267
0,M,0,0,0,32,1,0,0,0,0,0,0,0,0,Bi-anual,1,Débito automático,20.05,0.6683
1,F,0,1,0,8,1,0,Fibra óptica,0,1,1,0,1,1,Mensual,0,E-cheque,101.15,3.3717
0,M,0,0,0,41,1,1,DSL,0,0,1,0,0,1,Anual,0,Cheque,65.0,2.1667
0,M,0,0,0,5,1,0,0,0,0,0,0,0,0,Mensual,1,Cheque,19.25,0.6417
0,F,0,0,1,11,0,Sin telefonía,DSL,1,0,0,1,0,0,Anual,1,Cheque,36.05,1.2017
1,M,0,0,0,5,1,0,Fibra óptica,0,0,0,1,1,1,Mensual,1,E-cheque,96.1,3.2033
0,F,0,0,0,16,1,0,0,0,0,0,0,0,0,Anual,0,Cheque,19.05,0.635
0,M,1,0,0,71,1,1,Fibra óptica,0,1,0,1,1,1,Anual,0,Débito automático,105.75,3.525
0,F,0,0,0,11,0,Sin telefonía,DSL,0,1,1,1,0,0,Anual,1,Tarjeta de crédito,40.4,1.3467
1,F,0,1,1,61,1,1,Fibra óptica,0,1,0,0,1,1,Mensual,1,E-cheque,99.15,3.305
0,F,0,1,0,71,1,0,DSL,1,1,1,1,1,1,Anual,1,Débito automático,84.8,2.8267
0,M,0,0,0,9,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,19.85,0.6617
0,F,0,0,0,6,1,0,DSL,1,0,0,0,0,0,Mensual,1,E-cheque,49.45,1.6483
1,F,0,0,0,26,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,Débito automático,88.8,2.96
0,F,0,0,0,6,1,0,DSL,1,1,0,0,0,0,Mensual,0,Cheque,55.15,1.8383
0,M,0,0,0,11,1,0,Fibra óptica,0,0,1,0,0,1,Mensual,0,E-cheque,84.8,2.8267
1,M,0,1,0,1,1,0,Fibra óptica,0,0,0,0,1,0,Mensual,1,E-cheque,80.55,2.685
0,F,0,1,0,49,1,0,0,0,0,0,0,0,0,Bi-anual,1,Débito automático,20.15,0.6717
0,F,0,1,1,3,1,0,DSL,0,1,0,0,1,0,Mensual,1,Tarjeta de crédito,58.7,1.9567
0,F,0,0,0,53,1,0,Fibra óptica,1,1,1,1,0,1,Bi-anual,0,Cheque,99.5,3.3167
1,M,0,1,1,23,1,0,Fibra óptica,1,0,0,1,1,1,Mensual,1,E-cheque,99.85,3.3283
1,M,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,0,E-cheque,45.35,1.5117
1,M,0,0,0,1,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque,48.55,1.6183
0,M,0,0,1,3,1,1,0,0,0,0,0,0,0,Bi-anual,1,Cheque,26.4,0.88
1,F,1,1,0,68,1,1,Fibra óptica,0,1,0,0,1,1,Mensual,1,E-cheque,100.2,3.34
1,M,0,0,0,8,1,0,Fibra óptica,0,0,1,0,1,1,Mensual,1,E-cheque,94.7,3.1567
0,F,0,1,0,70,1,1,Fibra óptica,0,0,1,0,1,1,Anual,1,E-cheque,97.65,3.255
0,M,0,1,1,39,1,1,Fibra óptica,0,0,1,0,1,1,Anual,0,E-cheque,100.0,3.3333
1,F,0,0,0,1,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,E-cheque,70.1,2.3367
1,F,0,0,0,3,1,0,Fibra óptica,0,1,0,1,1,1,Mensual,1,E-cheque,97.9,3.2633
0,M,0,1,0,60,1,1,Fibra óptica,0,1,1,0,1,1,Anual,0,Débito automático,102.5,3.4167
1,F,0,1,0,5,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,0,E-cheque,69.95,2.3317
1,M,1,0,0,3,1,1,Fibra óptica,0,1,0,0,0,0,Mensual,1,E-cheque,81.35,2.7117
0,F,0,1,0,55,1,1,DSL,1,1,0,1,0,0,Anual,1,Tarjeta de crédito,66.05,2.2017
0,M,0,0,0,72,0,Sin telefonía,DSL,1,0,1,1,1,1,Bi-anual,1,Tarjeta de crédito,61.2,2.04
0,M,1,1,0,72,1,0,DSL,1,1,1,1,1,0,Bi-anual,0,Débito automático,74.4,2.48
1,F,0,0,0,41,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,1,E-cheque,106.3,3.5433
0,M,0,0,0,60,0,Sin telefonía,DSL,1,1,1,0,0,0,Bi-anual,0,Débito automático,39.6,1.32
1,F,0,0,0,6,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,0,E-cheque,89.3,2.9767
0,F,0,1,0,46,1,1,Fibra óptica,0,1,1,1,1,1,Bi-anual,1,Tarjeta de crédito,108.9,3.63
0,F,0,0,0,15,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,19.9,0.6633
1,F,0,1,0,58,1,1,Fibra óptica,0,0,1,1,1,1,Mensual,1,Tarjeta de crédito,102.1,3.4033
0,M,0,1,1,23,1,0,0,0,0,0,0,0,0,Bi-anual,0,Tarjeta de crédito,19.6,0.6533
1,F,1,1,1,31,1,0,Fibra óptica,0,0,1,1,1,1,Mensual,1,E-cheque,98.9,3.2967
0,M,0,1,0,11,1,0,DSL,0,0,0,0,0,0,Mensual,1,Débito automático,45.9,1.53
0,F,1,0,0,56,1,1,Fibra óptica,0,1,1,1,1,0,Bi-anual,1,Débito automático,99.9,3.33
0,F,0,0,1,25,1,0,0,0,0,0,0,0,0,Mensual,0,Tarjeta de crédito,20.05,0.6683
0,F,0,0,0,68,0,Sin telefonía,DSL,1,1,1,1,1,1,Bi-anual,0,Tarjeta de crédito,64.35,2.145
0,F,0,0,0,40,1,0,0,0,0,0,0,0,0,Bi-anual,0,Tarjeta de crédito,19.65,0.655
1,M,0,0,0,36,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,E-cheque,84.9,2.83
1,M,0,0,0,32,1,1,Fibra óptica,1,1,0,1,1,1,Mensual,1,Tarjeta de crédito,108.15,3.605
0,M,0,1,1,71,1,1,DSL,1,1,1,1,1,1,Bi-anual,0,Débito automático,86.85,2.895
0,M,0,1,0,17,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,1,E-cheque,102.55,3.4183
